"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"LPP",0.000301727176570246,-0.616058608555322,0.229,0.351,1,"LPP","Up in Healthy"
"CDK13",0.000317337873885384,-0.578233376659958,0.332,0.465,1,"CDK13","Up in Healthy"
"TUBA4A",0.000327793141413226,1.6161144853661,0.484,0.426,1,"TUBA4A","Up in Severe"
"DYNLL1",0.000343279384582818,1.55406092968923,0.458,0.381,1,"DYNLL1","Up in Severe"
"CORO7",0.000344097146307169,-0.524718493842398,0.282,0.374,1,"CORO7","Up in Healthy"
"SIRT7",0.000344560825422455,-0.510951967085094,0.303,0.404,1,"SIRT7","Up in Healthy"
"ARIH2",0.000358727703300873,-0.560928339123625,0.216,0.301,1,"ARIH2","Up in Healthy"
"CREM",0.000365307008410806,-0.923012637329102,0.174,0.254,1,"CREM","Up in Healthy"
"CD55",0.000366594948853254,0.78637784183354,0.553,0.445,1,"CD55","Up in Severe"
"ATXN2L",0.00037213293986986,-0.568610463314988,0.268,0.376,1,"ATXN2L","Up in Healthy"
"RAB29",0.000375769759768658,-0.504282692583893,0.196,0.264,1,"RAB29","Up in Healthy"
"CBX4",0.000388218207619041,-0.575311037991791,0.196,0.266,1,"CBX4","Up in Healthy"
"NAAA",0.000398531785045743,-0.754253067315346,0.242,0.327,1,"NAAA","Up in Healthy"
"CAPG",0.000423689691838052,0.88646936947559,0.38,0.286,1,"CAPG","Up in Severe"
"CD3G",0.000424449570048894,-0.655545465310645,0.177,0.299,1,"CD3G","Up in Healthy"
"MED23",0.000425720005032041,-0.598653398769545,0.178,0.253,1,"MED23","Up in Healthy"
"ASAH1",0.000436067672007974,0.766283801037857,0.566,0.501,1,"ASAH1","Up in Severe"
"MNDA",0.000440750057091661,0.941411378317385,0.391,0.303,1,"MNDA","Up in Severe"
"ADIPOR1",0.000460445148017358,1.39435281840303,0.33,0.27,1,"ADIPOR1","Up in Severe"
"CD14",0.000461675303716393,0.52280587463953,0.345,0.243,1,"CD14","Up in Severe"
"PLAUR",0.000474502324849116,1.73338647530529,0.313,0.216,1,"PLAUR","Up in Severe"
"PLIN2",0.000474619710624807,0.902329676629907,0.34,0.272,1,"PLIN2","Up in Severe"
"LNPEP",0.000498516324792994,-0.590927816850376,0.256,0.381,1,"LNPEP","Up in Healthy"
"NUP210",0.000516138127142522,-0.614064692832042,0.192,0.269,1,"NUP210","Up in Healthy"
